epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,59.3176,0.49946,1.51123,0.93267,1,0.85574,0.9501,0.88947,0.44472,2.20757,0.82168,0.00058,0.00058,0.00058
2,120.39,0.5062,0.92261,0.90218,0.94292,0.751,0.83481,0.74854,0.66427,1.90964,1.06311,0.00116832,0.00116832,0.00116832
3,178.196,0.52745,0.87555,0.90416,0.94022,0.9533,0.97763,0.87249,0.49026,1.10873,0.82876,0.00174476,0.00174476,0.00174476
4,234.701,0.59917,0.87976,0.93382,0.99829,0.98485,0.98679,0.88847,0.46603,1.00159,0.81669,0.0019406,0.0019406,0.0019406
5,291.066,0.51752,0.7897,0.8985,0.99938,0.9697,0.98439,0.89689,0.46162,0.85403,0.8101,0.0019208,0.0019208,0.0019208
6,353.933,0.46472,0.66717,0.88872,1,0.98421,0.98505,0.90649,0.4416,0.7814,0.79326,0.001901,0.001901,0.001901
7,414.803,0.50372,0.63912,0.89284,0.99857,1,0.995,0.89576,0.49084,0.71181,0.80268,0.0018812,0.0018812,0.0018812
8,473.825,0.48399,0.61616,0.91244,0.99872,1,0.995,0.88363,0.44603,0.62887,0.77135,0.0018614,0.0018614,0.0018614
9,534.048,0.48537,0.58987,0.88778,0.9443,0.89394,0.92694,0.8411,0.42767,0.79932,0.81762,0.0018416,0.0018416,0.0018416
10,593.935,0.46267,0.56137,0.88636,0.99905,1,0.995,0.94289,0.33717,0.56398,0.74157,0.0018218,0.0018218,0.0018218
11,654.84,0.45448,0.54855,0.89573,0.99842,1,0.995,0.95808,0.30472,0.51801,0.74635,0.001802,0.001802,0.001802
12,714.118,0.40102,0.48589,0.85854,0.99853,0.98485,0.99443,0.93661,0.32203,0.44589,0.74963,0.0017822,0.0017822,0.0017822
13,772.809,0.41763,0.4561,0.87375,0.95444,0.9522,0.97205,0.89286,0.34815,0.52891,0.76347,0.0017624,0.0017624,0.0017624
14,832.209,0.41089,0.45045,0.86606,0.99839,0.98485,0.99471,0.94778,0.33559,0.45025,0.7488,0.0017426,0.0017426,0.0017426
15,892.833,0.39384,0.43983,0.87871,0.99792,0.98485,0.9943,0.94383,0.33829,0.40118,0.74758,0.0017228,0.0017228,0.0017228
16,953.57,0.42311,0.41604,0.86346,0.96559,1,0.99412,0.94721,0.32166,0.40762,0.74831,0.001703,0.001703,0.001703
17,1013.92,0.38028,0.39242,0.87511,0.98394,1,0.9944,0.96102,0.25638,0.34834,0.72502,0.0016832,0.0016832,0.0016832
18,1074.43,0.37675,0.38979,0.849,1,0.99995,0.995,0.95063,0.30008,0.36666,0.74425,0.0016634,0.0016634,0.0016634
19,1133.65,0.38758,0.37945,0.85164,0.9964,1,0.995,0.93351,0.34397,0.37498,0.7609,0.0016436,0.0016436,0.0016436
20,1191.56,0.36974,0.35974,0.85956,0.99237,1,0.995,0.96041,0.27841,0.32263,0.73666,0.0016238,0.0016238,0.0016238
21,1250.68,0.41298,0.37903,0.86511,0.99129,0.98485,0.99457,0.95388,0.32226,0.32713,0.75033,0.001604,0.001604,0.001604
22,1309.46,0.37356,0.35224,0.86339,0.99625,1,0.995,0.95276,0.31399,0.30047,0.7419,0.0015842,0.0015842,0.0015842
23,1369.45,0.37373,0.34749,0.86466,0.97503,1,0.9944,0.94198,0.28717,0.2878,0.73223,0.0015644,0.0015644,0.0015644
24,1429.61,0.35598,0.32613,0.86544,0.99907,1,0.995,0.95759,0.2948,0.28864,0.73435,0.0015446,0.0015446,0.0015446
25,1490.58,0.34484,0.34018,0.85609,0.99898,1,0.995,0.95665,0.31667,0.30551,0.73742,0.0015248,0.0015248,0.0015248
26,1550.93,0.34165,0.32017,0.84508,0.99896,1,0.995,0.95199,0.31699,0.28323,0.73616,0.001505,0.001505,0.001505
27,1610.67,0.34838,0.32814,0.86247,0.98357,0.98485,0.98259,0.94521,0.28951,0.3275,0.73799,0.0014852,0.0014852,0.0014852
28,1669.08,0.34359,0.32266,0.84766,1,0.99881,0.995,0.95871,0.2821,0.28185,0.73768,0.0014654,0.0014654,0.0014654
29,1727.68,0.35695,0.32113,0.85575,0.99472,1,0.995,0.962,0.27204,0.26871,0.73107,0.0014456,0.0014456,0.0014456
30,1786.8,0.36172,0.3137,0.8612,0.99819,1,0.995,0.95452,0.30853,0.29207,0.74238,0.0014258,0.0014258,0.0014258
31,1846.03,0.3388,0.30859,0.86139,0.99888,1,0.995,0.94864,0.2734,0.26904,0.72929,0.001406,0.001406,0.001406
32,1905.5,0.36823,0.3095,0.84949,0.99905,1,0.995,0.95816,0.3016,0.2618,0.74458,0.0013862,0.0013862,0.0013862
33,1965.23,0.3418,0.2977,0.85829,0.99845,1,0.995,0.9559,0.28389,0.25519,0.72681,0.0013664,0.0013664,0.0013664
34,2025.32,0.34127,0.30325,0.84864,0.99872,1,0.995,0.96564,0.25319,0.2374,0.72698,0.0013466,0.0013466,0.0013466
35,2084.54,0.33871,0.28642,0.8546,0.99905,1,0.995,0.96563,0.24289,0.22712,0.72652,0.0013268,0.0013268,0.0013268
36,2142.79,0.37943,0.30784,0.86495,0.99894,1,0.995,0.95288,0.28463,0.24268,0.73752,0.001307,0.001307,0.001307
37,2201.6,0.3647,0.3162,0.85424,0.96057,0.98485,0.98994,0.93444,0.28928,0.25474,0.74649,0.0012872,0.0012872,0.0012872
38,2260.65,0.33006,0.29374,0.86069,0.99895,1,0.995,0.96833,0.27984,0.24076,0.72866,0.0012674,0.0012674,0.0012674
39,2320.29,0.3078,0.27445,0.84777,0.99557,1,0.995,0.96821,0.25928,0.22834,0.72698,0.0012476,0.0012476,0.0012476
40,2379.64,0.31435,0.27483,0.842,0.99565,1,0.995,0.96764,0.26241,0.21592,0.72403,0.0012278,0.0012278,0.0012278
41,2439.32,0.3115,0.28027,0.85125,0.99901,1,0.995,0.96237,0.26604,0.22881,0.72491,0.001208,0.001208,0.001208
42,2501.07,0.33242,0.28125,0.8567,0.99904,1,0.995,0.96836,0.26599,0.23244,0.72774,0.0011882,0.0011882,0.0011882
43,2560.68,0.32455,0.2873,0.8489,0.99914,1,0.995,0.95677,0.2391,0.21596,0.72402,0.0011684,0.0011684,0.0011684
44,2619.22,0.31533,0.27433,0.85832,0.99907,1,0.995,0.96605,0.25691,0.21623,0.72418,0.0011486,0.0011486,0.0011486
45,2677.13,0.30021,0.26287,0.84456,0.99908,1,0.995,0.96777,0.24233,0.2017,0.72241,0.0011288,0.0011288,0.0011288
46,2736.4,0.30175,0.25998,0.83523,0.98955,1,0.995,0.96358,0.26517,0.21043,0.72702,0.001109,0.001109,0.001109
47,2795.6,0.31237,0.26191,0.85509,0.98429,1,0.995,0.97134,0.24844,0.20971,0.72467,0.0010892,0.0010892,0.0010892
48,2855.56,0.30522,0.26403,0.84687,0.99838,1,0.995,0.97194,0.24852,0.19452,0.72209,0.0010694,0.0010694,0.0010694
